url; title; timestamp; writer; shares_count; comments_count; summary; sources; categories; 
https://www.tecmundo.com.br/ciencia/156618-neve-atingir-estados-sul-partir-desta-quinta-feira-20.htm;  Neve pode atingir estados do Sul a partir desta quinta-feira (20);  17/08/2020 às 15:48; Kris Gaiato; 9; 5; Neste domingo (16), dois institutos de meteorologia, MetSul e Climatempo, emitiram um alerta de neve e chuva congelada para a Região Sul, que receberá uma massa polar intensa neste fim de semana.; [Plantão 190, Canal Rural]; [Ciência, Meio ambiente]; 
https://www.tecmundo.com.br/redes-sociais/156608-netflix-lider-engajamento-redes-sociais-quarentena.htm; Netflix é líder de engajamento nas redes sociais na quarentena; 17/08/2020 às 16:00; Kris Gaiato; 0; 0; A Netflix registrou o maior engajamento no Instagram e no Facebook durante a quarentena, segundo uma análise realizada pela plataforma de marketing Socialbakers. Os dados foram coletados nos meses abril, maio e junho e são referentes ao público brasileiro.; [Socialbakers]; [Redes Sociais, Redes sociais, Netflix]; 
